Epoch,TrainLoss,TrainAcc,ValLoss,ValAcc,DurationSeconds
1,1183.5882407426834,0.1657986111111111,281.6295771598816,0.2361111111111111,363.5751826763153
2,1092.06187915802,0.2630208333333333,270.55489164590836,0.2777777777777778,347.31611704826355
3,1027.267158985138,0.296875,248.40785285830498,0.3368055555555556,326.98983883857727
4,971.5577203035355,0.3350694444444444,236.4957490861416,0.3611111111111111,319.14906072616577
5,906.5241710245609,0.3975694444444444,224.0001785159111,0.40625,320.7666094303131
6,834.9569941461086,0.4774305555555556,199.3684577047825,0.4791666666666667,318.75252628326416
7,758.3671373948455,0.5164930555555556,189.66542979329824,0.5104166666666666,327.1309320926666
8,656.7047143578529,0.5798611111111112,169.25742001831532,0.5729166666666666,321.58700227737427
9,576.0336670912802,0.6553819444444444,173.05958274379373,0.5798611111111112,317.8128762245178
10,516.7000312581658,0.6649305555555556,169.9521693252027,0.59375,321.67281579971313
11,410.4857577905059,0.7387152777777778,181.87483222968876,0.5138888888888888,344.9011182785034
12,398.22371938545257,0.7673611111111112,213.8904379978776,0.5208333333333334,352.5759494304657
13,273.69182883622125,0.8446180555555556,173.5711123663932,0.5798611111111112,343.61209058761597
14,225.25023139850236,0.8697916666666666,171.62292790133506,0.6076388888888888,326.8343949317932
15,205.877770467152,0.8776041666666666,186.41561136540258,0.5868055555555556,318.6467182636261
16,182.51127569022356,0.8793402777777778,181.532347436063,0.6215277777777778,322.7199583053589
17,161.02566498020315,0.9097222222222222,176.71155872638337,0.6006944444444444,318.34193086624146
18,147.05155853673932,0.9262152777777778,187.50997479911894,0.5798611111111112,322.7721629142761
19,140.88184686622117,0.9236111111111112,178.48283599177375,0.6111111111111112,325.4589192867279
20,135.30104533358826,0.9270833333333334,174.4573484888533,0.5833333333333334,321.9988043308258
21,102.92884645798767,0.9453125,183.03939361101948,0.59375,321.00848841667175
22,101.30972078615014,0.9496527777777778,184.99026522180066,0.6076388888888888,450.0173087120056
23,100.86219478346175,0.9505208333333334,167.49066001316532,0.6284722222222222,366.1090066432953
24,93.35400549373298,0.9583333333333334,178.5546590751619,0.6180555555555556,356.5695261955261
25,104.07491799996933,0.9444444444444444,178.49927673010097,0.625,355.13129329681396
26,92.96578348926778,0.9505208333333334,205.1320321719395,0.59375,319.4806990623474
27,90.04176562937937,0.9565972222222222,179.7527723601088,0.6215277777777778,318.06273555755615
28,98.68875926658802,0.9444444444444444,181.90535433478362,0.6041666666666666,426.8320486545563
29,78.66097102858839,0.9583333333333334,179.41564263442706,0.6284722222222222,337.5274806022644
30,73.73610313382596,0.9626736111111112,186.446879388066,0.6041666666666666,333.83560967445374
